Group,Sex,Ix ,Iy ,J ,IxIy
Mesolithic,Male,206.228705,162.7233993,368.9521043,1.267357405
Mesolithic,Male,204.6290211,165.9657893,370.5948104,1.232959046
Mesolithic,Male,178.1361085,197.5691385,375.7052469,0.901639344
Mesolithic,Male,197.6177362,196.7194737,394.3372099,1.00456621
Mesolithic,Male,223.1805996,180.4662986,403.6468981,1.236688519
Mesolithic,Male,232.8014655,173.6704865,406.471952,1.340477995
Mesolithic,Male,197.7031339,222.5258146,420.2289485,0.888450332
Mesolithic,Male,228.0362273,204.067587,432.1038142,1.117454421
Mesolithic,Male,253.9669374,187.1535818,441.1205192,1.356997472
Mesolithic,Male,258.6305002,190.5651166,449.1956168,1.357176512
Mesolithic,Male,202.4264385,247.2600824,449.6865209,0.818678197
Mesolithic,Male,220.2732499,235.5916092,455.8648591,0.934979181
Mesolithic,Male,306.2630127,154.1418149,460.4048276,1.986891181
Mesolithic,Male,254.0582112,206.6076503,460.6658615,1.229665072
Mesolithic,Male,301.359844,164.8321373,466.1919813,1.8282833
Mesolithic,Male,229.5158565,238.086988,467.6028445,0.964
Mesolithic,Male,248.1754228,219.9505992,468.126022,1.128323467
Mesolithic,Male,239.7010421,244.1629897,483.8640317,0.981725537
Mesolithic,Male,247.6000541,249.2901568,496.8902109,0.993220339
Mesolithic,Male,255.7191775,242.054218,497.7733955,1.056454127
Mesolithic,Male,241.0429218,259.5699194,500.6128412,0.92862425
Mesolithic,Male,263.0153057,242.5734985,505.5888042,1.084270571
Mesolithic,Male,295.4544169,219.5297257,514.9841426,1.345851528
Mesolithic,Male,280.9242634,253.2314173,534.1556807,1.109357861
Mesolithic,Male,364.3222541,178.750059,543.0723131,2.038165783
Mesolithic,Male,277.221346,276.6944883,553.9158342,1.001904113
Mesolithic,Male,336.909814,224.9441156,561.8539296,1.497748954
Mesolithic,Male,322.8379305,241.2256572,564.0635877,1.338323353
Mesolithic,Male,291.1313849,278.9547871,570.086172,1.043650794
Mesolithic,Male,342.8652291,244.180754,587.0459831,1.404145181
Mesolithic,Male,308.2394407,294.2207267,602.4601674,1.047646929
Mesolithic,Male,373.3319414,246.050503,619.3824444,1.517298022
Neolithic,Male,122.3575053,131.5912419,253.9487471,0.929830158
Neolithic,Male,150.6876261,114.0684025,264.7560287,1.321028635
Neolithic,Male,130.4977227,138.0177013,268.5154241,0.94551439
Neolithic,Male,143.4561149,127.2764716,270.7325866,1.127122029
Neolithic,Male,124.2480842,148.7147621,272.9628462,0.835479158
Neolithic,Male,162.5194939,112.8076487,275.3271426,1.440677966
Neolithic,Male,183.1833182,100.7474718,283.93079,1.818242334
Neolithic,Male,129.313673,157.7965668,287.1102398,0.819496112
Neolithic,Male,170.3498721,122.8239998,293.1738719,1.38694288
Neolithic,Male,140.7155351,154.0428599,294.758395,0.913483009
Neolithic,Male,154.4703231,141.3955904,295.8659135,1.092469168
Neolithic,Male,155.1666023,142.6908093,297.8574116,1.087432352
Neolithic,Male,149.65255,153.9264923,303.5790423,0.972233875
Neolithic,Male,147.2252304,156.8748763,304.1001067,0.938488265
Neolithic,Male,132.0833625,173.4256803,305.5090428,0.761613634
Neolithic,Male,142.2007113,165.7626409,307.9633523,0.857857419
Neolithic,Male,160.5898871,149.0695747,309.6594618,1.077281447
Neolithic,Male,148.484866,162.5572166,311.0420825,0.9134314
Neolithic,Male,133.3632263,178.3247012,311.6879275,0.747867376
Neolithic,Male,162.6917442,149.2593883,311.9511325,1.089993373
Neolithic,Male,177.8131838,135.6365711,313.4497549,1.310953103
Neolithic,Male,152.9639555,161.833015,314.7969704,0.945196229
Neolithic,Male,161.50474,155.3129656,316.8177056,1.039866436
Neolithic,Male,160.6052027,161.4000305,322.0052331,0.995075417
Neolithic,Male,170.5705148,152.2962449,322.8667597,1.119991599
Neolithic,Male,177.1129799,147.2622811,324.3752609,1.202704308
Neolithic,Male,163.7718915,161.2922826,325.0641741,1.015373388
Neolithic,Male,156.9592359,174.3316805,331.2909165,0.900348321
Neolithic,Male,176.8613075,154.8515948,331.7129022,1.142134233
Neolithic,Male,192.3198136,140.0792442,332.3990579,1.372935831
Neolithic,Male,204.8195138,128.376427,333.1959407,1.595460464
Neolithic,Male,163.7151112,170.9208911,334.6360022,0.957841433
Neolithic,Male,174.4218278,160.5523056,334.9741334,1.086386316
Neolithic,Male,170.1468272,164.8467948,334.993622,1.032151261
Neolithic,Male,206.861,131.0505188,337.9115188,1.578482878
Neolithic,Male,167.6474102,170.7628536,338.4102638,0.981755731
Neolithic,Male,169.8091961,168.837391,338.646587,1.005755864
Neolithic,Male,166.7567248,172.0713537,338.8280785,0.969113808
Neolithic,Male,179.7439108,160.9282919,340.6722027,1.116919273
Neolithic,Male,145.4657515,195.5389531,341.0047046,0.743922115
Neolithic,Male,154.3862983,186.7918495,341.1781478,0.826515176
Neolithic,Male,199.1194797,144.3915603,343.51104,1.379024365
